grade_map,k_ratio,direction,varied_grade,fixed_category,p_any_analytical,p_any_simulated,a_probability_analytical,a_probability_simulated,b_probability_analytical,b_probability_simulated,fixed_probability_baseline,fixed_probability_pct_change
Compressed,8.0,vary_B,VERY_HIGH,A,0.08045977011494253,0.079962,0.05747126436781609,0.057135,0.022988505747126436,0.022827,0.05780346820809249,-0.5747126436781769
Moderate,0.25,vary_A,NONE,B,0.4444444444444444,0.443881,0.0,0.0,0.4444444444444444,0.443881,0.21052631578947367,111.11111111111111
Moderate,0.25,vary_A,LOW,B,0.5652173913043478,0.56491,0.21739130434782605,0.217101,0.34782608695652173,0.347809,0.21052631578947367,65.21739130434783
Moderate,0.25,vary_A,NORMAL,B,0.7368421052631579,0.73736,0.5263157894736842,0.526437,0.21052631578947367,0.210923,0.21052631578947367,0.0
Moderate,0.25,vary_A,HIGH,B,0.8275862068965517,0.827731,0.6896551724137931,0.689601,0.13793103448275862,0.13813,0.21052631578947367,-34.48275862068966
Moderate,0.25,vary_A,VERY_HIGH,B,0.8979591836734694,0.898206,0.8163265306122449,0.816618,0.08163265306122448,0.081588,0.21052631578947367,-61.224489795918366
Moderate,0.25,vary_B,NONE,A,0.6666666666666666,0.6662,0.6666666666666665,0.6662,0.0,0.0,0.5263157894736842,26.66666666666664
Moderate,0.25,vary_B,LOW,A,0.6774193548387096,0.676177,0.6451612903225806,0.64411,0.03225806451612903,0.032067,0.5263157894736842,22.580645161290324
Moderate,0.25,vary_B,NORMAL,A,0.7058823529411765,0.704938,0.5882352941176471,0.588035,0.11764705882352941,0.116903,0.5263157894736842,11.764705882352944
Moderate,0.25,vary_B,HIGH,A,0.7368421052631579,0.736716,0.5263157894736842,0.52567,0.21052631578947367,0.211046,0.5263157894736842,0.0
Moderate,0.25,vary_B,VERY_HIGH,A,0.782608695652174,0.782031,0.43478260869565216,0.434387,0.3478260869565218,0.347644,0.5263157894736842,-17.391304347826086
Moderate,0.5,vary_A,NONE,B,0.2857142857142857,0.286512,0.0,0.0,0.2857142857142857,0.286512,0.16666666666666669,71.4285714285714
Moderate,0.5,vary_A,LOW,B,0.3939393939393939,0.393536,0.15151515151515152,0.150935,0.2424242424242424,0.242601,0.16666666666666669,45.45454545454544
Moderate,0.5,vary_A,NORMAL,B,0.5833333333333334,0.583492,0.4166666666666667,0.416218,0.16666666666666669,0.167274,0.16666666666666669,0.0
Moderate,0.5,vary_A,HIGH,B,0.7058823529411765,0.705111,0.5882352941176471,0.588103,0.11764705882352941,0.117008,0.16666666666666669,-29.41176470588236
Moderate,0.5,vary_A,VERY_HIGH,B,0.8148148148148148,0.813994,0.7407407407407407,0.739979,0.07407407407407407,0.074015,0.16666666666666669,-55.55555555555556
Moderate,0.5,vary_B,NONE,A,0.5,0.499594,0.5,0.499594,0.0,0.0,0.4166666666666667,19.999999999999996
Moderate,0.5,vary_B,LOW,A,0.5121951219512195,0.512356,0.48780487804878053,0.487903,0.024390243902439025,0.024453,0.4166666666666667,17.073170731707332
Moderate,0.5,vary_B,NORMAL,A,0.5454545454545454,0.545956,0.45454545454545453,0.454902,0.0909090909090909,0.091054,0.4166666666666667,9.090909090909083
